REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGTITUDE,RADIUSSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
160060019, , , , ,-7919677.674162148,5201936.826266183, , , , ,1/6/2016,1:48:00 AM, , ,05/06/2017 14:44:53, , ,mv
160060050, , , , ,-7914759.690378392,5201568.250801498, , , , ,1/6/2016,6:55:02 AM, , ,05/06/2017 14:44:53, , ,ped
160060069, , , , ,-7921210.43223088,5203401.942575322, , , , ,1/6/2016,8:12:00 AM, , ,05/06/2017 14:44:53, , ,mv
160060073, , , , ,-7911903.90016158,5213985.098130701, , , , ,1/6/2016,8:37:07 AM, , ,05/06/2017 14:44:53, , ,bike
160060080, , , , ,-7909709.1250811005,5207079.271473314, , , , ,1/6/2016,9:07:00 AM, , ,05/06/2017 14:44:53, , ,mv
160060104, , , , ,-7909117.461987534,5204602.429462869, , , , ,1/6/2016,10:17:00 AM, , ,05/06/2017 14:44:53, , ,mv
160060159, , , , ,-7912824.28971146,5211062.961461107, , , , ,1/6/2016,12:28:27 PM, , ,05/06/2017 14:44:53, , ,ped
160060295, , , , ,-7912146.020054055,5208796.4489604, , , , ,1/6/2016,8:06:00 PM, , ,05/06/2017 14:44:53, , ,mv
160060333, , , , ,-7910327.170893985,5209035.5266664075, , , , ,1/6/2016,10:20:00 PM, , ,05/06/2017 14:44:53, , ,mv
160060343, , , , ,-7920725.190570513,5212984.945732253, , , , ,1/6/2016,10:59:03 PM, , ,05/06/2017 14:44:53, , ,ped
160060343, , , , ,-7920725.190570513,5212984.945732253, , , , ,1/6/2016,11:14:00 PM, , ,05/06/2017 14:44:53, , ,mv
160070001, , , , ,-7911198.245909442,5213930.719659315, , , , ,1/7/2016,12:14:00 AM, , ,05/06/2017 14:44:53, , ,mv
160070001, , , , ,-7911198.245909442,5213930.719659315, , , , ,1/7/2016,12:15:00 AM, , ,05/06/2017 14:44:53, , ,mv
160070065, , , , ,-7913646.384150968,5213681.426233199, , , , ,1/7/2016,6:49:19 AM, , ,05/06/2017 14:44:53, , ,ped
160070082, , , , ,-7904276.733930388,5218999.50291737, , , , ,1/7/2016,8:06:05 AM, , ,05/06/2017 14:44:53, , ,ped
160070100, , , , ,-7917213.728552927,5199402.068789274, , , , ,1/7/2016,9:09:56 AM, , ,05/06/2017 14:44:53, , ,ped
160070109, , , , ,-7919504.01575651,5203137.4285515575, , , , ,1/7/2016,9:34:00 AM, , ,05/06/2017 14:44:53, , ,mv
160070126, , , , ,-7913521.595001788,5213876.793395038, , , , ,1/7/2016,10:31:00 AM, , ,05/06/2017 14:44:53, , ,mv
160070256, , , , ,-7912903.103910941,5210622.505196714, , , , ,1/7/2016,4:30:07 PM, , ,05/06/2017 14:44:53, , ,ped
